iter	Logloss
0	0.6912401773
1	0.688865952
2	0.686555269
3	0.6843818502
4	0.6824916214
5	0.680517593
6	0.678740027
7	0.6768989463
8	0.6753731685
9	0.6740727227
10	0.6726149506
11	0.6711053815
12	0.6694611924
13	0.668246958
14	0.6668244218
15	0.6652361201
16	0.663865604
17	0.6624069729
18	0.6612662946
19	0.6595673908
20	0.6581683798
21	0.6569863879
22	0.6559317498
23	0.6549771683
24	0.653720527
25	0.6523612915
26	0.6513496089
27	0.650259734
28	0.6491983258
29	0.6485162616
30	0.6477772838
31	0.6467521225
32	0.6459834913
33	0.6450401706
34	0.6440832152
35	0.6434622505
36	0.6425453191
37	0.641777974
38	0.6409389656
39	0.6399597145
40	0.6389181218
41	0.637930043
42	0.6371754768
43	0.6361759064
44	0.6353039133
45	0.6344512946
46	0.6338924428
47	0.63300993
48	0.632276429
49	0.6316589474
50	0.630894041
51	0.6300865342
52	0.6293991027
53	0.6288511705
54	0.6283187833
55	0.627504325
56	0.6269916948
57	0.6263288227
58	0.6256627014
59	0.624810554
60	0.6238662101
61	0.6231228231
62	0.6224560169
63	0.6218305544
64	0.6210046044
65	0.6203551237
66	0.6196434658
67	0.6187749528
68	0.6181984448
69	0.6174374867
70	0.6166804375
71	0.6161026008
72	0.6154333737
73	0.614708982
74	0.6141384015
75	0.6136342092
76	0.6130117725
77	0.6125936362
78	0.6121907145
79	0.6117022432
80	0.6112587908
81	0.6109016312
82	0.6103840784
83	0.6097476655
84	0.6092866602
85	0.6088036534
86	0.6082199895
87	0.6077554229
88	0.6071923947
89	0.6065409206
90	0.6062245807
91	0.6057669766
92	0.6052070281
93	0.6047233049
94	0.6040878306
95	0.6034842512
96	0.602783206
97	0.6022998399
98	0.6018192612
99	0.6013806613
100	0.6007369163
101	0.6001772381
102	0.5998685772
103	0.5994763293
104	0.5989760087
105	0.59846227
106	0.5978158352
107	0.5973494603
108	0.5966813611
109	0.5962303667
110	0.595875421
111	0.5954142984
112	0.5950435432
113	0.5945257043
114	0.5938909791
115	0.5934121837
116	0.5930617795
117	0.5927017466
118	0.5923960675
119	0.5918385824
120	0.5914579354
121	0.5910739201
122	0.5904841887
123	0.5900326421
124	0.5896637485
125	0.5891766636
