iter	Passed	Remaining
0	22	22017
1	41	20896
2	61	20552
3	82	20545
4	109	21805
5	130	21589
6	150	21320
7	170	21099
8	190	20946
9	217	21557
10	238	21400
11	257	21203
12	276	21028
13	298	21058
14	321	21125
15	341	21024
16	362	20966
17	382	20884
18	406	20990
19	428	21019
20	448	20930
21	468	20844
22	492	20908
23	519	21111
24	539	21023
25	572	21445
26	592	21355
27	618	21461
28	638	21365
29	657	21260
30	677	21186
31	704	21311
32	727	21331
33	751	21339
34	770	21247
35	790	21169
36	813	21171
37	835	21160
38	855	21087
39	875	21021
40	895	20950
41	918	20960
42	939	20920
43	959	20854
44	979	20795
45	1003	20809
46	1027	20825
47	1047	20779
48	1067	20715
49	1090	20712
50	1114	20738
51	1134	20689
52	1154	20632
53	1174	20580
54	1195	20542
55	1223	20619
56	1243	20571
57	1262	20505
58	1283	20469
59	1306	20465
60	1326	20415
61	1346	20366
62	1366	20323
63	1386	20280
64	1407	20249
65	1431	20260
66	1452	20227
67	1472	20184
68	1492	20140
69	1517	20160
70	1539	20138
71	1559	20098
72	1580	20067
73	1600	20027
74	1621	19995
75	1644	19995
76	1665	19959
77	1685	19927
78	1708	19922
79	1732	19922
80	1752	19886
81	1772	19848
82	1792	19807
83	1820	19852
84	1845	19862
85	1865	19829
86	1886	19793
87	1908	19776
88	1930	19756
89	1949	19715
90	1970	19680
91	1990	19647
92	2014	19648
93	2036	19627
94	2056	19593
95	2079	19582
96	2099	19542
97	2122	19537
98	2143	19503
99	2163	19468
100	2183	19436
101	2203	19403
102	2226	19392
103	2255	19430
104	2278	19421
105	2299	19391
106	2321	19377
107	2342	19345
108	2362	19308
109	2382	19278
110	2402	19240
111	2423	19217
112	2445	19199
113	2466	19172
114	2487	19140
115	2509	19125
116	2533	19122
117	2558	19120
118	2578	19087
119	2599	19063
120	2624	19066
121	2646	19048
122	2667	19020
123	2688	18991
124	2711	18980
125	2734	18964
126	2754	18933
127	2774	18900
128	2794	18870
129	2821	18879
130	2840	18844
131	2866	18847
132	2887	18825
133	2910	18807
134	2933	18797
135	2953	18765
136	2974	18737
137	2994	18705
138	3016	18683
139	3036	18651
140	3058	18630
141	3080	18612
142	3100	18580
143	3124	18574
144	3145	18548
145	3166	18520
146	3187	18493
147	3207	18466
148	3231	18459
149	3256	18452
150	3276	18423
151	3297	18393
152	3318	18371
153	3339	18343
154	3359	18314
155	3379	18282
156	3399	18253
157	3421	18236
158	3446	18227
159	3473	18234
160	3497	18226
161	3527	18249
162	3552	18241
163	3576	18231
164	3601	18224
165	3626	18218
166	3650	18207
167	3675	18204
168	3699	18192
169	3724	18183
170	3748	18172
171	3773	18164
172	3797	18154
173	3823	18152
174	3848	18143
175	3872	18129
176	3893	18103
177	3914	18076
178	3937	18059
179	3957	18029
180	3977	17997
181	3997	17968
182	4020	17947
183	4042	17927
184	4064	17906
185	4087	17888
186	4108	17861
187	4132	17848
188	4152	17817
189	4171	17785
190	4192	17758
191	4212	17727
192	4236	17714
193	4257	17686
194	4279	17668
195	4300	17639
196	4321	17616
197	4342	17589
198	4362	17559
199	4383	17532
200	4403	17504
201	4427	17489
202	4447	17460
203	4469	17440
204	4490	17412
205	4509	17383
206	4532	17365
207	4558	17359
208	4579	17330
209	4599	17301
210	4622	17283
211	4642	17254
212	4664	17233
213	4684	17204
214	4704	17177
215	4731	17175
216	4752	17148
217	4772	17119
218	4792	17090
219	4812	17063
220	4837	17052
221	4860	17034
222	4885	17021
223	4906	16997
224	4930	16983
225	4950	16954
226	4970	16927
227	4991	16900
228	5012	16874
229	5035	16857
230	5055	16830
231	5082	16823
232	5102	16796
233	5124	16775
234	5147	16756
235	5167	16727
236	5187	16702
237	5208	16675
238	5232	16660
239	5253	16634
240	5276	16616
241	5296	16591
242	5316	16563
243	5339	16544
244	5360	16518
245	5380	16490
246	5400	16462
247	5420	16435
248	5444	16420
249	5464	16393
250	5486	16372
251	5506	16345
252	5527	16321
253	5547	16294
254	5570	16273
255	5590	16246
256	5610	16220
257	5634	16203
258	5654	16176
259	5677	16159
260	5699	16137
261	5720	16112
262	5746	16102
263	5766	16075
264	5787	16052
265	5807	16026
266	5829	16004
267	5850	15979
268	5872	15957
